"person","perOcc","perBcity","perBcountry","perDcity","perDcountry","perBdate","perDdate"
"http://dbpedia.org/resource/Tatiana_Gorb","http://dbpedia.org/class/yago/WikicatRussianWomenPainters","http://dbpedia.org/resource/Saint_Petersburg","http://dbpedia.org/resource/Russia","http://dbpedia.org/resource/Saint_Petersburg","http://dbpedia.org/resource/Russia",1935-04-27,"2013-1-1"
"http://dbpedia.org/resource/Princess_Luise_of_Anhalt-Bernburg","http://dbpedia.org/class/yago/WikicatGermanPainters","http://dbpedia.org/resource/Ballenstedt","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Düsseldorf","http://dbpedia.org/resource/Germany",1799-08-30,1882-12-09
"http://dbpedia.org/resource/Franciska_Clausen","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Aabenraa","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Aabenraa","http://dbpedia.org/resource/Denmark",1899-01-07,1986-03-05
"http://dbpedia.org/resource/Lucy_Bacon","http://dbpedia.org/class/yago/WikicatImpressionistPainters","http://dbpedia.org/resource/Pitcairn,_New_York","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/United_States",1857-07-30,1932-10-17
"http://dbpedia.org/resource/Valentine_de_Saint-Point","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Lyon","http://dbpedia.org/resource/France","http://dbpedia.org/resource/Cairo","http://dbpedia.org/resource/Egypt","1875-2-16","1953-3-28"
"http://dbpedia.org/resource/Elisabeth_Jerichau-Baumann","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Warsaw","http://dbpedia.org/resource/Poland","http://dbpedia.org/resource/Copenhagen","http://dbpedia.org/resource/Denmark",1819-11-21,1881-07-11
"http://dbpedia.org/resource/Joyce_Wieland","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Canada","1931-6-30","1998-6-27"
"http://dbpedia.org/resource/Mira_Klobučar","http://dbpedia.org/class/yago/WikicatJewishPainters","http://dbpedia.org/resource/Zagreb","http://dbpedia.org/resource/Croatia","http://dbpedia.org/resource/Zagreb","http://dbpedia.org/resource/Croatia",1888-07-28,1956-07-10
"http://dbpedia.org/resource/Sarah_Miriam_Peale","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Pennsylvania","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Pennsylvania","http://dbpedia.org/resource/United_States",1800-05-19,1885-02-19
"http://dbpedia.org/resource/Blanche_Hoschedé_Monet","http://dbpedia.org/class/yago/WikicatFrenchImpressionistPainters","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France","http://dbpedia.org/resource/Giverny","http://dbpedia.org/resource/France",1865-11-10,"1947-12-8"
